ticker,mu_ann,sigma_ann,"P(>2%, 20d)","P(>5%, 20d)",Coverage_95
NOW,0.6305869760165876,0.3164260041665946,0.624,0.495,0.9595796281325788
KHC,-0.08944214661324412,0.17536808433131243,0.299,0.138,0.9272433306386418
META,1.1188749128486448,0.3819029266328811,0.711,0.631,0.9337105901374293
C,0.14223388816606689,0.2537164589299923,0.441,0.303,0.9223928860145514
BMY,-0.33864149908875985,0.19368968908023576,0.196,0.095,0.9417946645109135
HAL,-0.0520122671931581,0.3629519077692602,0.388,0.3,0.9054163298302345
RF,-0.09211533221190425,0.3633314318719182,0.374,0.287,0.9361358124494745
KMI,-0.0163062886592254,0.17668399349167402,0.335,0.158,0.9620048504446241
OXY,-0.03892441014404226,0.2765294439216455,0.37,0.25,0.9329021827000809
BSX,0.23331450698976536,0.19968904986585895,0.485,0.302,0.9660468876313663
CSX,0.11706215324026914,0.20696085041232257,0.422,0.249,0.9304769603880356
MRK,-0.018719358078478153,0.1873815731982203,0.339,0.165,0.9490703314470493
CAG,-0.2990443974368774,0.18583651288897057,0.205,0.095,0.9434114793856103
DVN,-0.29576193194958555,0.3443828853661364,0.322,0.225,0.9385610347615198
KDP,-0.0709517579286402,0.1811612376456028,0.315,0.149,0.9603880355699272
CVX,-0.17101712783610734,0.2328244693870208,0.309,0.163,0.9232012934518997
DIS,0.07018818099000032,0.26667241199021186,0.412,0.283,0.9110751818916734
VICI,-0.009676975051424452,0.19796648110305046,0.346,0.185,0.9563459983831851
CRM,0.7169908420601666,0.2919996705536227,0.658,0.531,0.946645109135004
PG,-0.03631898958534875,0.1497940903888022,0.304,0.123,0.9587712206952304
LRCX,0.6650245205520395,0.35488202123292834,0.621,0.508,0.9506871463217461
MDLZ,0.08046847349895109,0.17688130730742258,0.383,0.201,0.9256265157639451
PSKY,-0.0854889609319181,0.6110471981896094,0.407,0.342,0.8641875505254648
COIN,1.676432709884954,0.8764353334721853,0.636,0.597,0.8713592233009708
AES,-0.38605719731574306,0.3402281066672617,0.297,0.201,0.8827809215844786
MRNA,-0.5736659017597242,0.45006451233306843,0.295,0.219,0.9131736526946108
FITB,0.05268292657196563,0.3917003111438942,0.43,0.332,0.9175424413904608
JPM,0.2501057715409124,0.20723392017506337,0.496,0.315,0.9434114793856103
USB,-0.0016160616940581463,0.40152624543002663,0.41,0.324,0.9223928860145514
LUV,-0.1085065176833809,0.3108573452382626,0.356,0.25,0.9070331447049312
QCOM,0.3016303581166776,0.31457686008499136,0.511,0.372,0.9337105901374293
CTRA,0.04610957433977228,0.2922423191094301,0.407,0.289,0.936944219886823
SCHW,-0.1797746487982167,0.42321478923315736,0.361,0.289,0.9005658852061439
NEM,-0.13494980337302426,0.3257473806458777,0.352,0.25,0.9167340339531124
MO,-0.1280316291140603,0.18451164859362043,0.285,0.137,0.946645109135004
VTRS,-0.008275923335170868,0.253104292902857,0.373,0.241,0.9409862570735651
DAL,0.2291896277763992,0.29749687296307636,0.48,0.342,0.9151172190784155
ABT,0.020560594387819514,0.19828286846738644,0.359,0.203,0.9620048504446241
NEE,-0.31416401977548747,0.2852192053465397,0.288,0.172,0.9167340339531124
EQT,0.14326003100224582,0.3710152134430736,0.45,0.342,0.9223928860145514
GLW,-0.03135861604428432,0.22443727691625698,0.348,0.209,0.946645109135004
BAX,-0.2643917514626495,0.3317268311187408,0.326,0.225,0.946645109135004
APH,0.28041173022663346,0.18498059934738653,0.517,0.309,0.9183508488278093
FISV,0.2848755515417157,0.21198050745552083,0.515,0.329,0.9644300727566694
BKR,0.17998377723684017,0.27278931195101674,0.458,0.324,0.9126919967663703
SBUX,-0.026618871173529346,0.22644100554694968,0.353,0.213,0.9361358124494745
CPRT,0.4912898207051442,0.2145532187461121,0.623,0.431,0.9514955537590946
WDC,0.5501609197991026,0.3780040075891731,0.577,0.462,0.910266774454325
TFC,-0.1419264770495078,0.43512276842470526,0.374,0.304,0.9337105901374293
MCHP,0.2842135251930679,0.33074058857543426,0.501,0.371,0.9442198868229588
PANW,0.7641817086047191,0.37649596198555213,0.636,0.531,0.931285367825384
COP,0.006569322140813266,0.28613763052756697,0.389,0.271,0.9353274050121261
ON,0.3262054806461224,0.47586117500840414,0.497,0.407,0.9240097008892482
JNJ,-0.11963858537562594,0.16353629096316247,0.266,0.118,0.952303961196443
GM,0.09913148949828433,0.338154630715705,0.437,0.328,0.9337105901374293
UNH,-0.003753922309180882,0.2110684261970518,0.357,0.205,0.9482619240097009
DOC,-0.2215260837814409,0.29179808355492237,0.322,0.207,0.9029911075181891
MOS,-0.19538998478859354,0.37304381179082047,0.348,0.264,0.9240097008892482
CVS,-0.1610741518865802,0.24559442055155498,0.32,0.182,0.9401778496362166
PPL,-0.08282057003918991,0.1912752608254186,0.315,0.158,0.9118835893290218
EXC,-0.1790664224711864,0.21772010369633088,0.293,0.155,0.9240097008892482
FAST,0.32410493937914014,0.21041402655727745,0.536,0.34,0.9337105901374293
HST,0.2063363880979064,0.27803179943283196,0.47,0.335,0.9353274050121261
GIS,-0.2632849681251391,0.18218595588727746,0.217,0.099,0.9708973322554567
XYZ,0.2694480686361549,0.5084707486253288,0.48,0.399,0.9248181083265966
PEP,-0.06777532058074127,0.14956118636874133,0.281,0.115,0.9514955537590946
CPB,-0.2772181040661469,0.21588259519160727,0.245,0.133,0.9692805173807599
DELL,0.6799019971140225,0.3357003630764724,0.631,0.513,0.9175424413904608
BA,0.32475566483726137,0.27018005672156775,0.523,0.366,0.9037995149555376
MDT,0.07666967738029912,0.21586716811981083,0.4,0.239,0.9280517380759903
CARR,0.33831905919531374,0.29823609307875026,0.523,0.379,0.9265785609397944
V,0.23906567879438506,0.15544840034775545,0.49,0.25,0.9660468876313663
VRT,1.3581696962990797,0.5386138357344636,0.688,0.631,0.8385321100917431
TXN,0.05591689592593135,0.23964276744732083,0.4,0.25,0.9717057396928052
CRH,0.5631646134320822,0.26326195853543355,0.626,0.466,0.9498787388843978
AMAT,0.5422897480181699,0.33677531258661425,0.594,0.458,0.9555375909458367
ANET,0.6812023223377628,0.4493084009578436,0.596,0.497,0.9215844785772029
LYB,0.14678066387726535,0.22433314969858895,0.44,0.281,0.9337105901374293
GILD,-0.04300695997321168,0.20182743874866974,0.339,0.179,0.9555375909458367
WMB,0.062492587907004495,0.19624672056149547,0.381,0.217,0.9280517380759903
KR,0.025031703283435375,0.19419904743757876,0.359,0.196,0.9660468876313663
WY,0.12677506573963182,0.24152480267924464,0.437,0.284,0.9401778496362166
APA,-0.23047445083483048,0.3801580945161076,0.342,0.257,0.9345189975747777
BX,0.5957005091427019,0.347939310519565,0.602,0.478,0.9143088116410671
MS,0.09900601985790267,0.2575090124399509,0.425,0.286,0.9256265157639451
TGT,-0.02345541480842793,0.3028036089124251,0.381,0.273,0.9223928860145514
ABBV,-0.04578349741021075,0.19784107111575983,0.335,0.167,0.9280517380759903
CL,0.011228269059053206,0.1629766179664517,0.339,0.154,0.9571544058205336
INVH,0.1585088355995721,0.2348359437633077,0.447,0.294,0.9288601455133387
O,-0.09638622202674177,0.1951824017046549,0.315,0.158,0.9361358124494745
KKR,0.6059346217378272,0.31690596728797565,0.618,0.482,0.9320937752627324
CNC,-0.09468525668924871,0.25998586667584345,0.342,0.22,0.952303961196443
UPS,-0.09910173346063869,0.23631623092966444,0.335,0.196,0.9223928860145514
FTNT,0.20125932721402315,0.42858354986954694,0.466,0.371,0.9256265157639451
TSCO,-0.022395321811562625,0.24256586288197968,0.36,0.227,0.9506871463217461
COHR,0.30086291188607484,0.643056763301765,0.477,0.412,0.904607922392886
IP,0.050783875934935024,0.2698701676901017,0.403,0.279,0.9426030719482619
UAL,0.10116824822058307,0.36283084228878226,0.439,0.335,0.9304769603880356
CTSH,0.30670645490467957,0.23490265895409904,0.522,0.345,0.9248181083265966
D,-0.26823894009596694,0.24080291329765705,0.271,0.154,0.9401778496362166
SO,-0.02158507634769507,0.1880519312422507,0.339,0.164,0.9320937752627324
CSGP,0.13898979382161672,0.27267042549525294,0.442,0.313,0.9482619240097009
GEN,0.088845608239491,0.30890710337555183,0.432,0.315,0.9385610347615198
SATS,0.013977714250942123,0.5971316188334915,0.43,0.357,0.9143088116410671
ORLY,0.11765942740273014,0.20042243259012707,0.421,0.242,0.9353274050121261
