feature,ic_1d,ic_2d,ic_3d,ic_5d,ic_10d,ic_15d,ic_20d
rolling_vol_60_cs_z,-0.0015698645009860617,-0.003359700158031794,-0.0053567274657427355,-0.011640634266129638,-0.009180567912139673,-0.012924880217011785,-0.010068861911886466
vol_of_vol_20_cs_z,-0.00300106127609774,-0.0007575609001543931,-0.0025806037017445326,-0.004070770212240786,-0.01056042265776309,-0.010896338873414473,-0.005232702009148035
jump_indicator_cs_z,0.02247884292650477,0.023295277099845926,0.03509290169682497,0.02925315710132229,0.025585457386368013,0.04070642092678986,0.03963513919709481
realised_vol_20d_cs_z,0.008915078558639886,0.017033794394557634,0.01759457024420676,0.02275412429560729,0.03978738343940938,0.04702283845246801,0.05989475620491158
vol_regime_ratio_cs_z,-0.010305556413777275,-0.009957065095904173,-0.012586589967896774,-0.018258675414953743,-0.01800782105249451,-0.022019990106692092,-0.01934880119915718
is_high_vol_stock_regime_cs_z,0.003962954543736072,0.0003730262527633053,-0.004097966218587796,-0.027986830664741107,-0.04250357426343931,-0.026261188005625553,0.007277583096374799
relative_volume_cs_z,-0.00025470192193461207,0.00017758194418556305,-0.0010687862582465938,-0.0020071230582794017,-0.004992863641933735,-0.01298642786099829,-0.009548413594891163
volume_zscore_cs_z,-0.006929793265827701,-0.005588552824709905,-0.00684445687015262,-0.007343929305132522,-0.009580526728812147,-0.013210334752349034,-0.007538537084495994
volume_surprise_cs_z,-0.006929793265827701,-0.005588552824709905,-0.00684445687015262,-0.007343929305132522,-0.009580526728812147,-0.013210334752349034,-0.007538537084495994
rolling_corr_market_20_cs_z,-0.008472461013798298,-0.01503894674839646,-0.01695595478640154,-0.021091939013409805,-0.03134247123914516,-0.03848804361034434,-0.044144895505849616
trend_score_cs_z,0.009825092879154573,0.011855293268899217,0.014866242000084587,0.02003790142800954,0.030995117536466277,0.03711866586873433,0.04111370433193134
confidence_mult_cs_z,-0.001337536145801187,-0.0006952252267973271,-0.00023530183697149877,0.0028336503915210084,0.005233941176134181,-0.003479986892620884,-0.00636189309428561
momentum_3m_cs_z,0.010453893150991272,0.017717422790424483,0.020619496080923987,0.02638276326159596,0.04672678205441673,0.061372563711193796,0.07404880900534042
momentum_6m_cs_z,0.007194609075193974,0.007849460023941214,0.011162425014840556,0.015295469965395955,0.01793348730986562,0.020052074956186494,0.018570188961861446
ma_crossover_cs_z,0.008616575071750834,0.007419604740823379,0.007358124352446508,0.007339229408777522,0.009676454665296546,0.004465666033411978,-0.0009509394061059642
cs_momentum_raw_cs_z,0.004614069480597505,0.006565267447782489,0.0068419004169039226,0.005816665125714334,0.007669597038484368,0.009084611247191197,0.008266695593889529
daily_return_cs_z,-0.015157813321516242,-0.01847174067581168,-0.02114881848040827,-0.008378642799926011,-0.015995337831274995,-0.00600935557489016,0.0021125134433694704
direction_cs_z,0.21249376371756085,0.32162796369576274,0.4151536475573589,0.6183821652369029,0.379274403944578,0.291710910030513,0.2454698108728336
sector_relative_mom_20d_cs_z,0.0020761931015356766,0.0069108294996963375,0.006791097699079952,0.0097351129627946,0.010068464465885439,0.01381749682032161,0.017374562861371214
sector_relative_strength_cs_z,0.0020761931015356766,0.0069108294996963375,0.006791097699079952,0.0097351129627946,0.010068464465885439,0.01381749682032161,0.017374562861371214
sector_relative_mom_60d_cs_z,0.00933479075725982,0.014576940712816101,0.017932390424444035,0.01997484821081092,0.0324806519733957,0.044731312134770426,0.05488358603759348
cs_momentum_percentile_cs_z,0.006262343970918964,0.007815595514880244,0.008308698803827709,0.008296964369620222,0.013361406059335775,0.02040711645870275,0.022851697609485987
is_high_vol_regime_cs_z,,,,,,,
expected_round_trip_cost_frac_cs_z,,,,,,,
spy_forward_5d_cs_z,,,,,,,
