ticker,score,date,executed
HPE,0.8502462523381218,2026-03-25,False
MCHP,0.8393443199488896,2026-03-25,False
DVN,0.83502917858819,2026-03-25,False
MS,0.8079776017329416,2026-03-25,False
DAL,0.8044107651437347,2026-03-25,False
USB,0.7906328469281132,2026-03-25,False
TFC,0.7869018945382469,2026-03-25,False
CTRA,0.769805467526983,2026-03-25,False
AMD,0.753433006882796,2026-03-25,False
NFLX,0.7374840415765365,2026-03-25,False
AVGO,0.7290774680974934,2026-03-25,False
CCL,0.714092721805457,2026-03-25,False
GIS,0.6880735531633488,2026-03-25,False
APA,0.6842532906850386,2026-03-25,False
UPS,0.6800369022616539,2026-03-25,False
DOW,0.649163793231125,2026-03-25,False
ANET,0.6439186610899262,2026-03-25,False
CSGP,0.6387779884214431,2026-03-25,False
GILD,0.6340916070566147,2026-03-25,False
KEY,0.6228072958434058,2026-03-25,False
CPB,0.6220083962966905,2026-03-25,False
PANW,0.6201392704787507,2026-03-25,False
C,0.6183819405155548,2026-03-25,False
ORCL,0.6130462684281837,2026-03-25,False
XYZ,0.601901767543203,2026-03-25,False
KKR,0.5963769128419927,2026-03-25,False
HST,0.5957431351294011,2026-03-25,False
CTSH,0.5939999661601069,2026-03-25,False
QCOM,0.5864337320366095,2026-03-25,False
DELL,0.5812204533181858,2026-03-25,False
FITB,0.5800080162712042,2026-03-25,False
BAX,0.5785897019055815,2026-03-25,False
NCLH,0.5775444079354749,2026-03-25,False
TSLA,0.569707267943788,2026-03-25,False
FISV,0.5624765479107624,2026-03-25,False
COIN,0.5545947557998286,2026-03-25,False
SMCI,0.5467836509556435,2026-03-25,False
F,0.5458389533681434,2026-03-25,False
NVDA,0.5420205435735922,2026-03-25,False
PCG,0.5355735943732236,2026-03-25,False
BX,0.51954921714294,2026-03-25,False
OXY,0.5129693358272416,2026-03-25,False
CARR,0.5048071958780476,2026-03-25,False
CAG,0.5047538843298022,2026-03-25,False
BAC,0.5014720041761077,2026-03-25,False
WFC,0.4767122822428337,2026-03-25,False
GEN,0.4656737695369057,2026-03-25,False
CVS,0.4616940294049589,2026-03-25,False
SW,0.4582416386137,2026-03-25,False
HBAN,0.4569952936326512,2026-03-25,False
ORLY,0.4503919049693817,2026-03-25,False
IP,0.4468771277516367,2026-03-25,False
VICI,0.4437495919612782,2026-03-25,False
JPM,0.4398249947205734,2026-03-25,False
FTNT,0.4390544331218076,2026-03-25,False
LYB,0.4378841831566009,2026-03-25,False
MRK,0.4100426636445038,2026-03-25,False
COP,0.3903351905485617,2026-03-25,False
META,0.3889568482483607,2026-03-25,False
T,0.3873637524152699,2026-03-25,False
VTRS,0.3768607015320938,2026-03-25,False
GOOG,0.3702465275373867,2026-03-25,False
GM,0.3686550065526591,2026-03-25,False
AMZN,0.3530917866121482,2026-03-25,False
EQT,0.3342056864424086,2026-03-25,False
BA,0.3310712336630758,2026-03-25,False
CRH,0.3263470798385273,2026-03-25,False
PLTR,0.3240977600487263,2026-03-25,False
DIS,0.3214992955753107,2026-03-25,False
NOW,0.3170258281243152,2026-03-25,False
CSX,0.3063342977626411,2026-03-25,False
KR,0.3053617348176079,2026-03-25,False
HOOD,0.3029185373763221,2026-03-25,False
CSCO,0.2985707496660832,2026-03-25,False
RF,0.2925721004375387,2026-03-25,False
GOOGL,0.2917333450221313,2026-03-25,False
TXN,0.2806460114812988,2026-03-25,False
UNH,0.2424817627462544,2026-03-25,False
UBER,0.2338482084210291,2026-03-25,False
ABT,0.2293571306420575,2026-03-25,False
CPRT,0.195434922111462,2026-03-25,False
TGT,0.166004901107157,2026-03-25,False
KDP,0.1628758588866593,2026-03-25,False
BMY,0.1605484683731411,2026-03-25,False
MDT,0.1594788442764176,2026-03-25,False
CMG,0.1343720471857665,2026-03-25,False
WBD,0.1255792529504004,2026-03-25,False
AAPL,0.1230582847173774,2026-03-25,False
INVH,0.1139427554968702,2026-03-25,False
DOC,0.1128666992821989,2026-03-25,False
FAST,0.1103957341733219,2026-03-25,False
WMT,0.1081317459544204,2026-03-25,False
CL,0.1033643645829093,2026-03-25,False
CRM,0.0971347521457088,2026-03-25,False
HPQ,0.0927689351266238,2026-03-25,False
WY,0.0797610785469273,2026-03-25,False
PG,0.0608835095488594,2026-03-25,False
BSX,0.0483432129363073,2026-03-25,False
MSFT,0.0443020294555554,2026-03-25,False
HAL,0.0343477770109621,2026-03-25,False
SCHW,0.0268736003849919,2026-03-25,False
NKE,0.0265054515434383,2026-03-25,False
SLB,0.0264637648047232,2026-03-25,False
BKR,0.0235778707092326,2026-03-25,False
XOM,0.0190615082807281,2026-03-25,False
MDLZ,0.0169293179036599,2026-03-25,False
WMB,0.006561607805617,2026-03-25,False
KHC,0.0046645058695687,2026-03-25,False
KVUE,-0.0035754957279845,2026-03-25,False
VZ,-0.0170750899448493,2026-03-25,False
PFE,-0.0245952849927117,2026-03-25,False
ABBV,-0.0340444746216292,2026-03-25,False
PYPL,-0.0381799435070663,2026-03-25,False
MOS,-0.0495631809086853,2026-03-25,False
PPL,-0.0499583498215182,2026-03-25,False
O,-0.0601156013678253,2026-03-25,False
TSCO,-0.0866547568756263,2026-03-25,False
NEE,-0.0941387711953076,2026-03-25,False
JNJ,-0.1090633088701968,2026-03-25,False
V,-0.1212844445543026,2026-03-25,False
D,-0.1972303772342951,2026-03-25,False
CMCSA,-0.2208431835766576,2026-03-25,False
SBUX,-0.2211317718026931,2026-03-25,False
PEP,-0.2252988642986954,2026-03-25,False
CVX,-0.2413941609034259,2026-03-25,False
EXC,-0.3522307743833944,2026-03-25,False
KMI,-0.3607250847962758,2026-03-25,False
SO,-0.3777928552714982,2026-03-25,False
KO,-0.7420793148741978,2026-03-25,False
MO,-0.7631453707516009,2026-03-25,False
CNC,1.322764556073177,2026-03-26,False
PSKY,1.2802755305107631,2026-03-26,False
AES,0.9185426679228011,2026-03-26,False
CSGP,0.6387779884214431,2026-03-26,False
CPB,0.6220083962966905,2026-03-26,False
HST,0.5957431351294011,2026-03-26,False
BAX,0.5785897019055815,2026-03-26,False
CAG,0.5047538843298022,2026-03-26,False
GEN,0.4656737695369057,2026-03-26,False
SW,0.4582416386137,2026-03-26,False
IP,0.4468771277516367,2026-03-26,False
VICI,0.4437495919612782,2026-03-26,False
VTRS,0.3768607015320938,2026-03-26,False
KDP,0.1628758588866593,2026-03-26,False
INVH,0.1139427554968702,2026-03-26,False
DOC,0.1128666992821989,2026-03-26,False
WY,0.0797610785469273,2026-03-26,False
PPL,-0.0499583498215182,2026-03-26,False
TSCO,-0.0866547568756263,2026-03-26,False
D,-0.1972303772342951,2026-03-26,False
GLW,1.8755193970186848,2026-03-26,False
MU,1.8574081114685892,2026-03-26,False
LITE,1.7749759320611176,2026-03-26,False
TER,1.7486746358197627,2026-03-26,False
ODFL,1.712667056589415,2026-03-26,False
AMAT,1.6988224521564463,2026-03-26,False
COHR,1.6695403194047662,2026-03-26,False
FCX,1.6274691820494058,2026-03-26,False
LRCX,1.6175572845300863,2026-03-26,False
FIX,1.5644529551443462,2026-03-26,False
LUV,1.5340356841023541,2026-03-26,False
VRT,1.5151344439968308,2026-03-26,False
CCL,1.4847283791549426,2026-03-26,False
MRNA,1.4686497644051222,2026-03-26,False
KLAC,1.4633504101705532,2026-03-26,False
EXE,1.4379554754604091,2026-03-26,False
MPWR,1.3935275490872305,2026-03-26,False
ON,1.3915190610736836,2026-03-26,False
URI,1.3890535192068576,2026-03-26,False
APP,1.3797317276938799,2026-03-26,False
CF,1.3749939230402062,2026-03-26,False
FDX,1.3746540348424272,2026-03-26,False
EL,1.3546946321018694,2026-03-26,False
KEYS,1.3227742326530778,2026-03-26,False
GE,1.3198253714144337,2026-03-26,False
BLK,1.3112384732690623,2026-03-26,False
SATS,1.3039090158109978,2026-03-26,False
STX,1.295070513536506,2026-03-26,False
TSLA,1.2838104362812477,2026-03-26,False
XYZ,1.2837204481241822,2026-03-26,False
CIEN,1.2834814406746826,2026-03-26,False
CVNA,1.2749382473014637,2026-03-26,False
FITB,1.2718655749135346,2026-03-26,False
MPC,1.2555330488499372,2026-03-26,False
UAL,1.2511669027607675,2026-03-26,False
EMR,1.2402959120776176,2026-03-26,False
NRG,1.2277795779582699,2026-03-26,False
DOW,1.2168762059964642,2026-03-26,False
MOS,1.2168555115722817,2026-03-26,False
AME,1.2121327305616794,2026-03-26,False
DVN,1.2081005680078072,2026-03-26,False
VLO,1.2076381831012188,2026-03-26,False
AZO,1.2004190310526255,2026-03-26,False
ALB,1.1948572607190375,2026-03-26,False
MCHP,1.1915872517218518,2026-03-26,False
WDC,1.1863305382022364,2026-03-26,False
SMCI,1.1845731771391164,2026-03-26,False
CAT,1.170801325623816,2026-03-26,False
INTC,1.1657883121198411,2026-03-26,False
ADI,1.160682232072647,2026-03-26,False
C,1.1505078085658218,2026-03-26,False
OTIS,1.1415293335463508,2026-03-26,False
SNDK,1.1375749488478282,2026-03-26,False
NEM,1.1361093937544289,2026-03-26,False
WAT,1.119338640560281,2026-03-26,False
TFC,1.1184229432136894,2026-03-26,False
VRTX,1.114550698879528,2026-03-26,False
NCLH,1.1136985724977928,2026-03-26,False
COIN,1.1129800460423984,2026-03-26,False
MS,1.1110170957122318,2026-03-26,False
GS,1.107646938211138,2026-03-26,False
CTRA,1.1056348666956575,2026-03-26,False
NXPI,1.1029732315487049,2026-03-26,False
GEV,1.098045545129138,2026-03-26,False
ROK,1.0855096105067599,2026-03-26,False
APA,1.079780920411276,2026-03-26,False
CMI,1.0650571380520901,2026-03-26,False
SLB,1.061191474238046,2026-03-26,False
CRH,1.058150237689827,2026-03-26,False
MLM,1.056112364195132,2026-03-26,False
CARR,1.0560233374948673,2026-03-26,False
FSLR,1.0521019917137169,2026-03-26,False
APH,1.0507594046957947,2026-03-26,False
PSX,1.0502166544741716,2026-03-26,False
RCL,1.045852987185224,2026-03-26,False
TEL,1.0444514190604506,2026-03-26,False
DG,1.0373607241139093,2026-03-26,False
DELL,1.018191115056068,2026-03-26,False
DE,1.0178704001857175,2026-03-26,False
FICO,1.011488753119005,2026-03-26,False
EQT,1.0077273674171578,2026-03-26,False
WFC,0.9975207680788385,2026-03-26,False
UPS,0.9869633657163505,2026-03-26,False
TXN,0.9761880008306558,2026-03-26,False
AMD,0.9684944102911819,2026-03-26,False
PAYX,0.9653728533329277,2026-03-26,False
LYB,0.9623722673466049,2026-03-26,False
JCI,0.9534643423308712,2026-03-26,False
USB,0.9529735261535219,2026-03-26,False
GIS,0.9529230414550762,2026-03-26,False
AXON,0.9491014740680424,2026-03-26,False
LOW,0.9489809490663541,2026-03-26,False
RF,0.9461531593756338,2026-03-26,False
FISV,0.9447827092146971,2026-03-26,False
REGN,0.9410689850313042,2026-03-26,False
GM,0.9364330833633094,2026-03-26,False
DAL,0.9319347187857472,2026-03-26,False
UNP,0.9299349626494587,2026-03-26,False
KEY,0.9292672500939905,2026-03-26,False
COF,0.928388240839125,2026-03-26,False
ARES,0.9278788803669401,2026-03-26,False
ORCL,0.9270055808257192,2026-03-26,False
BA,0.9267442264094161,2026-03-26,False
T,0.9188703927281524,2026-03-26,False
QCOM,0.9166791246958744,2026-03-26,False
AXP,0.9165976359826327,2026-03-26,False
IBKR,0.9164602454749555,2026-03-26,False
SHW,0.9145344164119723,2026-03-26,False
ADSK,0.9132680350623211,2026-03-26,False
NVDA,0.9096176310463863,2026-03-26,False
NKE,0.9087891263426332,2026-03-26,False
BAC,0.9056014405285523,2026-03-26,False
OXY,0.9017018708896595,2026-03-26,False
PNC,0.901151590498598,2026-03-26,False
DLTR,0.8967181492740744,2026-03-26,False
MMM,0.8916570520559998,2026-03-26,False
JBL,0.8905476067426279,2026-03-26,False
CMG,0.8887080565308191,2026-03-26,False
TT,0.8866025180614066,2026-03-26,False
ZTS,0.8811604684271206,2026-03-26,False
HD,0.8677511099713794,2026-03-26,False
KR,0.8661866873535361,2026-03-26,False
ROP,0.8656971796712853,2026-03-26,False
GOOG,0.8652291153975372,2026-03-26,False
EOG,0.8636178831610626,2026-03-26,False
PWR,0.8523053319016072,2026-03-26,False
TRGP,0.8399973861553057,2026-03-26,False
GOOGL,0.8387252292902037,2026-03-26,False
PH,0.8350452783213502,2026-03-26,False
AVGO,0.8349296766232768,2026-03-26,False
HOOD,0.825427207225104,2026-03-26,False
HPE,0.8195545917461773,2026-03-26,False
F,0.817902185992507,2026-03-26,False
PCAR,0.8163057751410027,2026-03-26,False
COR,0.8123637170371354,2026-03-26,False
DASH,0.8093385389258666,2026-03-26,False
CSX,0.8013353224597358,2026-03-26,False
CEG,0.7996076952329756,2026-03-26,False
TDG,0.7971558430542712,2026-03-26,False
DIS,0.7971540377262891,2026-03-26,False
MCK,0.7959653979718164,2026-03-26,False
ADP,0.795445840383783,2026-03-26,False
NFLX,0.7920109094241027,2026-03-26,False
AMGN,0.7902749014341155,2026-03-26,False
DHI,0.7891087983622396,2026-03-26,False
ABT,0.7822284082474357,2026-03-26,False
OMC,0.7820532857153554,2026-03-26,False
DRI,0.7805174270994288,2026-03-26,False
META,0.7745982191722656,2026-03-26,False
GILD,0.771923975782053,2026-03-26,False
ETN,0.7659067613257003,2026-03-26,False
AIG,0.7654759359442074,2026-03-26,False
DHR,0.7632623212386919,2026-03-26,False
AMZN,0.7631936401466498,2026-03-26,False
IBM,0.7575817334776108,2026-03-26,False
KKR,0.756745970376018,2026-03-26,False
ACN,0.7539280758703608,2026-03-26,False
DDOG,0.752951446748778,2026-03-26,False
WDAY,0.7522224289216715,2026-03-26,False
PLTR,0.7508021872751552,2026-03-26,False
BX,0.7485396831467097,2026-03-26,False
JPM,0.745403610330278,2026-03-26,False
EXPE,0.7416392046933843,2026-03-26,False
INTU,0.7390432492756159,2026-03-26,False
NSC,0.7370949239984754,2026-03-26,False
UNH,0.7260841261573889,2026-03-26,False
COP,0.7171991780348459,2026-03-26,False
MCO,0.7099515736219485,2026-03-26,False
CPRT,0.7084753143577217,2026-03-26,False
LHX,0.7080397144948131,2026-03-26,False
ABBV,0.7073837319705532,2026-03-26,False
ECL,0.7067583918696806,2026-03-26,False
VRSK,0.7038348426930298,2026-03-26,False
CTVA,0.7036932236567874,2026-03-26,False
CVS,0.7033242950537131,2026-03-26,False
NOW,0.7001140645231734,2026-03-26,False
PANW,0.6995334194448035,2026-03-26,False
NOC,0.6993957102023103,2026-03-26,False
ELV,0.6932919401778198,2026-03-26,False
MRK,0.6919031883571045,2026-03-26,False
TTWO,0.6908206751230818,2026-03-26,False
ANET,0.6886763065408257,2026-03-26,False
VMC,0.6750308832661035,2026-03-26,False
HON,0.673599752905847,2026-03-26,False
CTSH,0.671949893418172,2026-03-26,False
TMO,0.6672931419601789,2026-03-26,False
TTD,0.6632260433195765,2026-03-26,False
VST,0.6620744302478143,2026-03-26,False
LULU,0.6607927046152348,2026-03-26,False
FANG,0.6568059772622625,2026-03-26,False
MAR,0.6532147621546035,2026-03-26,False
TGT,0.6415961810558758,2026-03-26,False
WM,0.6390524241169121,2026-03-26,False
BBY,0.6351569492273211,2026-03-26,False
HCA,0.6294653700549723,2026-03-26,False
SYK,0.6293480977049007,2026-03-26,False
HBAN,0.6292574909538987,2026-03-26,False
AJG,0.6266897755211778,2026-03-26,False
ABNB,0.6261535187232499,2026-03-26,False
HSY,0.6238492164803574,2026-03-26,False
BK,0.6180553103691256,2026-03-26,False
KMB,0.6171086188314984,2026-03-26,False
PYPL,0.6104215735828259,2026-03-26,False
CDNS,0.6088407417329393,2026-03-26,False
APO,0.6084819911627404,2026-03-26,False
MRSH,0.6073916859436987,2026-03-26,False
FTNT,0.6032335073738578,2026-03-26,False
UBER,0.5958232286156621,2026-03-26,False
SNPS,0.5953349768691657,2026-03-26,False
PM,0.5875125428978206,2026-03-26,False
AKAM,0.5846950201079506,2026-03-26,False
FAST,0.5844286577230912,2026-03-26,False
AAPL,0.5809928900557327,2026-03-26,False
KHC,0.5792976442013084,2026-03-26,False
PGR,0.578754793366324,2026-03-26,False
BDX,0.5718829194636728,2026-03-26,False
CSCO,0.5705512951500448,2026-03-26,False
TMUS,0.5676453566048,2026-03-26,False
BKR,0.550525004054966,2026-03-26,False
XOM,0.5503883058010869,2026-03-26,False
RTX,0.5496356087545168,2026-03-26,False
CME,0.5489293296210014,2026-03-26,False
CAH,0.5423144311414911,2026-03-26,False
HWM,0.5419204147530283,2026-03-26,False
MA,0.5413382004507646,2026-03-26,False
CTAS,0.540075665193501,2026-03-26,False
SRE,0.5381621677983445,2026-03-26,False
DLR,0.5335681329813124,2026-03-26,False
LMT,0.5323668253906083,2026-03-26,False
ROST,0.5313244020566849,2026-03-26,False
SPGI,0.5300730112727967,2026-03-26,False
LLY,0.5255636529962321,2026-03-26,False
SPG,0.5182982909333828,2026-03-26,False
V,0.5141639194059924,2026-03-26,False
ISRG,0.5139518970263935,2026-03-26,False
CB,0.513060945567892,2026-03-26,False
PLD,0.5091750817093278,2026-03-26,False
EBAY,0.5088603970605919,2026-03-26,False
MDT,0.5084813879915181,2026-03-26,False
CI,0.5083453590600668,2026-03-26,False
MNST,0.5059573977169334,2026-03-26,False
BKNG,0.5037045997804914,2026-03-26,False
LYV,0.5016796334719827,2026-03-26,False
CL,0.4979393109814794,2026-03-26,False
APD,0.4956066990295518,2026-03-26,False
HAL,0.4910730231969963,2026-03-26,False
IQV,0.487427773498892,2026-03-26,False
HLT,0.48327365857009064,2026-03-26,False
SBUX,0.4760887797442017,2026-03-26,False
OKE,0.46962586296081416,2026-03-26,False
CRWD,0.467967947024566,2026-03-26,False
CMCSA,0.45649777145985015,2026-03-26,False
EA,0.451905623828463,2026-03-26,False
AON,0.4450276047109106,2026-03-26,False
ITW,0.4338878160970593,2026-03-26,False
HPQ,0.43235197075749743,2026-03-26,False
KVUE,0.43127836494023336,2026-03-26,False
AMT,0.42584138741473726,2026-03-26,False
MDLZ,0.4222593089796525,2026-03-26,False
PFE,0.41783567653140835,2026-03-26,False
ICE,0.41597612370284365,2026-03-26,False
BMY,0.40532247013178097,2026-03-26,False
AEP,0.38794567686277404,2026-03-26,False
DPZ,0.3870333461664295,2026-03-26,False
WMB,0.3868677579875331,2026-03-26,False
BSX,0.38474549528926905,2026-03-26,False
ULTA,0.3806449201529087,2026-03-26,False
MSFT,0.37723785516443364,2026-03-26,False
PG,0.37656546534646845,2026-03-26,False
WBD,0.36392617339747146,2026-03-26,False
CVX,0.3583640417563932,2026-03-26,False
EW,0.357985796753256,2026-03-26,False
LIN,0.3495233148443832,2026-03-26,False
MSI,0.3433019329072953,2026-03-26,False
SCHW,0.3392716835952588,2026-03-26,False
ORLY,0.31471372972019895,2026-03-26,False
PCG,0.3011012422316291,2026-03-26,False
WMT,0.2998611741227942,2026-03-26,False
NEE,0.28479703353818425,2026-03-26,False
EQIX,0.2687920950316301,2026-03-26,False
GD,0.2673698217042455,2026-03-26,False
ADBE,0.2630479304730347,2026-03-26,False
PSA,0.25921400101398623,2026-03-26,False
DUK,0.2345042297630518,2026-03-26,False
CRM,0.23365948023670507,2026-03-26,False
PEP,0.21756999728938553,2026-03-26,False
TRV,0.20871643281519675,2026-03-26,False
VZ,0.2045362076604812,2026-03-26,False
WELL,0.19702103398693444,2026-03-26,False
TJX,0.1511435021557835,2026-03-26,False
MCD,0.11255835931845823,2026-03-26,False
JNJ,0.10859804309086017,2026-03-26,False
MO,0.08722640465769095,2026-03-26,False
COST,0.08460206156733935,2026-03-26,False
KO,0.05109460543208375,2026-03-26,False
SO,0.03920968566190142,2026-03-26,False
O,0.005534021302453796,2026-03-26,False
XEL,-0.03506745703390856,2026-03-26,False
KMI,-0.18762600639342306,2026-03-26,False
EXC,-0.39075528457236314,2026-03-26,False
