ticker,signal,direction,signal_date,entry_date,exit_date,planned_exit_date,actual_exit_date,entry_price,exit_price,position_size,entry_book_equity,shares,return,pnl,adjusted_score,confidence,regime,entry_cost,exit_cost,total_cost,impact_entry_cost,gross_return,net_return,holding_days,planned_holding_days,actual_holding_days,exit_reason
AMD,Bullish,1,2018-09-25,2018-09-26,2018-09-27,2018-10-01,2018-09-27,32.4,31.428,10488.59,104885.89,323.7219,-0.03,-314.67,1.0611,Low,Bull,0.02,0.0,0.02,0.02,-0.03,-0.030002,1,5,1,stop_loss
MS,Bullish,1,2018-09-25,2018-09-26,2018-09-28,2018-10-01,2018-09-28,48.36,46.9092,3707.07,104885.76,76.6557,-0.03,-111.22,0.5737,High,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030003,2,5,2,stop_loss
GEN,Bullish,1,2018-09-25,2018-09-26,2018-10-02,2018-10-01,2018-10-02,21.26,20.6222,4821.14,104885.88,226.7707,-0.03,-144.66,0.7502,Medium,Bull,0.03,0.0,0.03,0.03,-0.03,-0.030006,6,5,6,stop_loss
CPRT,Bullish,1,2018-09-25,2018-09-26,2018-10-03,2018-10-01,2018-10-03,12.92,13.19,3979.96,104885.91,308.0464,0.020898,83.15,1.4754,Low,Bull,0.02,0.0,0.02,0.02,0.020898,0.020893,7,5,7,expiry
FTNT,Bullish,1,2018-09-25,2018-09-26,2018-10-03,2018-10-01,2018-10-03,18.0,18.3,3830.25,104885.85,212.7918,0.016667,63.82,0.6395,Medium,Bull,0.02,0.0,0.02,0.02,0.016667,0.016662,7,5,7,expiry
QCOM,Bullish,1,2018-09-25,2018-09-26,2018-10-03,2018-10-01,2018-10-03,72.68,72.64,4239.49,104885.83,58.331,-0.00055,-2.34,0.5794,Medium,Bull,0.01,0.0,0.01,0.01,-0.00055,-0.000553,7,5,7,expiry
FISV,Bullish,1,2018-09-25,2018-09-26,2018-10-03,2018-10-01,2018-10-03,81.95,81.68,7842.09,104885.82,95.6936,-0.003295,-25.9,-0.5741,High,Bull,0.06,0.0,0.06,0.06,-0.003295,-0.003302,7,5,7,expiry
FAST,Bullish,1,2018-09-25,2018-09-26,2018-10-03,2018-10-01,2018-10-03,14.565,14.52,10488.58,104885.75,720.1219,-0.00309,-32.51,-0.561,High,Bull,0.1,0.0,0.1,0.1,-0.00309,-0.003099,7,5,7,expiry
CTRA,Bullish,1,2018-09-25,2018-09-27,2018-10-10,2018-10-01,2018-10-10,22.59,24.0,3112.24,104226.39,137.7705,0.062417,194.24,0.5307,Medium,Bull,0.01,0.0,0.02,0.01,0.062417,0.062412,13,4,13,expiry
TSCO,Bullish,1,2018-09-11,2018-09-28,2018-10-04,2018-09-17,2018-10-04,18.2,17.654,10453.49,104534.88,574.3675,-0.03,-313.7,0.5262,Medium,Bull,0.09,0.0,0.09,0.09,-0.03,-0.030009,6,-11,6,stop_loss
CPB,Bullish,1,2018-08-13,2018-10-01,2018-10-10,2018-08-17,2018-10-10,36.82,37.72,10451.77,104517.72,283.8613,0.024443,255.37,0.5236,Medium,Bull,0.1,0.0,0.1,0.1,0.024443,0.024434,9,-45,9,expiry
HBAN,Bullish,1,2018-09-18,2018-10-02,2018-10-10,2018-09-24,2018-10-10,14.94,15.15,10405.74,104057.39,696.502,0.014056,146.18,-0.5184,High,Bull,0.08,0.0,0.08,0.08,0.014056,0.014048,8,-8,8,expiry
TTD,Bullish,1,2018-10-02,2018-10-03,2018-10-04,2018-10-08,2018-10-04,13.7,13.289,10393.06,103930.61,758.6176,-0.03,-311.88,1.0819,Low,Bull,0.09,0.0,0.09,0.09,-0.03,-0.030008,1,5,1,stop_loss
PEP,Bullish,1,2018-10-02,2018-10-03,2018-10-04,2018-10-08,2018-10-04,109.21,105.9337,10034.05,103930.44,91.8785,-0.03,-301.07,0.6844,High,Bull,0.05,0.0,0.05,0.05,-0.03,-0.030005,1,5,1,stop_loss
CAG,Bullish,1,2018-10-02,2018-10-03,2018-10-10,2018-10-08,2018-10-10,33.45,35.27,10393.05,103930.52,310.7041,0.05441,565.4,0.8622,Medium,Bull,0.08,0.0,0.08,0.08,0.05441,0.054402,7,5,7,expiry
EQT,Bullish,1,2018-10-02,2018-10-03,2018-10-10,2018-10-08,2018-10-10,24.2188,24.8503,2712.31,103930.4,111.9918,0.026073,70.71,0.6611,Medium,Bull,0.01,0.0,0.01,0.01,0.026073,0.026069,7,5,7,expiry
MO,Bullish,1,2018-10-02,2018-10-03,2018-10-10,2018-10-08,2018-10-10,61.42,62.91,10393.04,103930.38,169.2126,0.024259,252.08,0.625,Medium,Bull,0.05,0.0,0.05,0.05,0.024259,0.024254,7,5,7,expiry
AMD,Bullish,1,2018-10-02,2018-10-03,2018-10-04,2018-10-08,2018-10-04,29.04,28.1688,10393.06,103930.63,357.8878,-0.03,-311.81,1.1237,Low,Bull,0.02,0.0,0.02,0.02,-0.03,-0.030002,1,5,1,stop_loss
CSGP,Bullish,1,2018-10-02,2018-10-04,2018-10-05,2018-10-08,2018-10-05,40.83,39.6051,5229.72,103087.91,128.0852,-0.03,-156.93,0.5719,High,Bull,0.04,0.0,0.04,0.04,-0.03,-0.030008,1,4,1,stop_loss
GM,Bullish,1,2018-10-02,2018-10-04,2018-10-09,2018-10-08,2018-10-09,34.11,33.0867,4141.69,103087.98,121.4216,-0.03,-124.26,0.61,Medium,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030003,5,4,5,stop_loss
BKR,Bullish,1,2018-10-02,2018-10-04,2018-10-11,2018-10-08,2018-10-11,32.08,31.1176,3758.25,103087.94,117.1523,-0.03,-112.77,0.5945,Medium,Bull,0.02,0.0,0.02,0.02,-0.03,-0.030007,7,4,7,stop_loss
CSX,Bullish,1,2018-10-02,2018-10-04,2018-10-10,2018-10-08,2018-10-10,25.01,24.2597,7018.22,103087.97,280.6165,-0.03,-210.58,-0.5964,High,Bull,0.03,0.0,0.03,0.03,-0.03,-0.030004,6,4,6,stop_loss
