ticker,entry_date,exit_date,regime,pnl,return,position_size,entry_price,exit_price,crisis_day_num,holding_days
SYK,2018-12-27,2019-01-02,Crisis,12.92,0.034968,369.66,149.28,154.5,0,6
VZ,2020-05-18,2020-05-19,Crisis,-37.94,-0.003953,9588.15,55.65,55.43,0,1
LUV,2020-07-01,2020-07-02,Crisis,-100.09,-0.03,3335.91,35.29,34.2313,0,1
PFE,2020-07-01,2020-07-07,Crisis,-69.84,-0.014765,4728.75,32.7704,32.2865,0,6
PCG,2020-07-01,2020-07-07,Crisis,4.78,0.002237,2140.78,8.94,8.96,0,6
SO,2020-07-01,2020-07-07,Crisis,47.73,0.016583,2879.23,51.86,52.72,0,6
CMCSA,2020-07-01,2020-07-07,Crisis,38.38,0.011613,3305.59,37.1228,37.5539,0,6
HSY,2020-07-14,2020-07-17,Crisis,1063.76,0.069217,15370.82,127.57,136.4,0,3
NOC,2020-07-14,2020-07-17,Crisis,577.25,0.053456,10800.02,291.27,306.84,0,3
VZ,2020-07-14,2020-07-17,Crisis,486.79,0.034356,14170.57,54.43,56.3,0,3
CME,2020-09-09,2020-09-14,Crisis,-60.82,-0.003361,18051.47,166.64,166.08,0,5
CTRA,2020-09-09,2020-09-14,Crisis,587.68,0.031025,18952.06,18.05,18.61,0,5
PFE,2020-09-09,2020-09-14,Crisis,375.92,0.01984,18952.08,34.4307,35.1139,0,5
ADP,2020-09-09,2020-09-10,Crisis,-343.95,-0.03,11462.47,136.68,132.5796,0,1
CVS,2020-09-09,2020-09-11,Crisis,-568.69,-0.03,18952.03,59.69,57.8993,0,2
OXY,2020-09-09,2020-09-10,Crisis,-160.21,-0.03,5339.51,11.21,10.8737,0,1
TTWO,2020-09-09,2020-09-10,Crisis,-360.68,-0.03,12019.31,159.66,154.8702,0,1
JNJ,2020-11-04,2020-11-09,Crisis,729.04,0.047243,15432.83,139.49,146.08,0,5
GILD,2020-11-04,2020-11-09,Crisis,-92.61,-0.005725,16161.38,59.39,59.05,0,5
LLY,2020-11-04,2020-11-09,Crisis,1063.61,0.055,19340.65,134.91,142.33,0,5
KMB,2020-11-04,2020-11-09,Crisis,-498.7,-0.025777,19340.64,136.17,132.66,0,5
CMCSA,2020-11-04,2020-11-09,Crisis,704.47,0.065733,10717.83,41.4902,44.2174,0,5
INTU,2020-11-04,2020-11-09,Crisis,419.84,0.060108,6985.2,339.72,360.14,0,5
PGR,2020-11-04,2020-11-09,Crisis,-703.21,-0.038507,18257.42,94.01,90.39,0,5
DPZ,2021-02-02,2021-02-05,Crisis,140.11,0.007021,19985.06,374.6,377.23,0,3
MAR,2021-02-02,2021-02-05,Crisis,453.84,0.083787,5416.92,119.47,129.48,0,3
WM,2021-02-02,2021-02-05,Crisis,98.29,0.007262,13549.75,112.91,113.73,0,3
FISV,2021-02-02,2021-02-05,Crisis,302.97,0.039748,7623.01,107.93,112.22,0,3
KO,2021-02-02,2021-02-05,Crisis,224.66,0.017418,12900.95,48.8,49.65,0,3
IBKR,2021-02-02,2021-02-05,Crisis,558.74,0.075841,7368.16,16.7125,17.98,0,3
CL,2021-02-02,2021-02-05,Crisis,258.39,0.012936,19985.11,78.85,79.87,0,3
UNH,2021-02-02,2021-02-05,Crisis,-345.67,-0.037348,9254.52,337.1,324.51,0,3
MRK,2021-02-02,2021-02-05,Crisis,-401.6,-0.025582,15696.07,74.2271,72.3282,0,3
CMCSA,2021-12-02,2021-12-07,Crisis,-9.85,-0.003617,2719.09,46.6354,46.4667,0,5
VZ,2021-12-02,2021-12-07,Crisis,108.59,0.019265,5637.82,49.83,50.79,0,5
HON,2021-12-02,2021-12-07,Crisis,99.54,0.030802,3232.21,189.4062,195.2403,0,5
V,2021-12-02,2021-12-07,Crisis,200.87,0.080052,2509.34,192.0,207.37,0,5
TMUS,2021-12-02,2021-12-07,Crisis,317.03,0.093327,3397.2,107.15,117.15,0,5
MMM,2021-12-02,2021-12-03,Crisis,-109.23,-0.009561,11417.65,143.4281,142.0568,0,1
PM,2021-12-06,2021-12-09,Crisis,-48.69,-0.006218,7821.98,90.06,89.5,0,3
MMM,2021-12-06,2021-12-09,Crisis,47.25,0.008137,5811.28,145.9197,147.107,0,3
EA,2021-12-06,2021-12-09,Crisis,-150.99,-0.019146,7882.91,127.44,125.0,0,3
KR,2021-12-06,2021-12-08,Crisis,-295.04,-0.03,9832.24,43.89,42.5733,0,2
DAL,2021-12-06,2021-12-09,Crisis,91.28,0.033557,2720.48,37.25,38.5,0,3
MNST,2022-01-03,2022-01-04,Crisis,206.65,0.023241,8894.4,47.76,48.87,0,1
AMT,2022-01-28,2022-02-02,Crisis,311.73,0.062171,5014.52,237.57,252.34,0,5
CMCSA,2022-01-28,2022-02-02,Crisis,308.61,0.044068,7003.7,44.8735,46.851,0,5
AMD,2022-01-28,2022-02-02,Crisis,292.56,0.208863,1400.74,101.55,122.76,0,5
CDNS,2022-01-28,2022-02-02,Crisis,165.76,0.093864,1766.05,139.99,153.13,0,5
